Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
chicken,3 oz.,85,185,23,9,7,0,0,Protein
"Fried, breast or leg and thigh chicken",3 oz.,85,245,25,15,11,0,0,Protein
Roasted chicken,3 1/2 oz.,100,290,25,20,16,0,0,Protein
"Chicken livers, fried",3 med.,100,140,22,14,12,0,2.3,Protein
"Duck, domestic",3 1/2 oz.,100,370,16,28,0,0,0,Protein
"Lamb, chop, broiled",4 oz.,115,480,24,35,33,0,0,Protein
Leg roasted,3 oz.,86,314,20,14,14,0,0,Protein
"Shoulder, braised",3 oz.,85,285,18,23,21,0,0,Protein
"Pork, chop, 1 thick",3 1/2 oz.,100,260,16,21,18,0,0,Protein
Ham pan-broiled,3 oz.,85,290,16,22,19,0,0,Protein
"Ham, as ",2 oz.,57,170,13,13,11,0,0,Protein
"Ham, canned, spiced",2 oz.,57,165,8,14,12,0,1,Protein
Pork roast,3 oz.,85,310,21,24,21,0,0,Protein
Pork sausage,3 1/2 oz.,100,475,18,44,40,0,0,Protein
Turkey,3 1/2 oz.,100,265,27,15,0,0,0,Protein
Veal,3 oz.,85,185,23,9,8,0,0,Protein
Roast,3 oz.,85,305,13,14,13,0,0,Protein
Clams,3 oz.,85,87,12,1,0,0,2,Protein
Cod,3 1/2 oz.,100,170,28,5,0,0,0,Protein
Crab meat,3 oz.,85,90,14,2,0,0,1,Protein
Fish sticks fried,5,112,200,19,10,5,0,8,Protein
Flounder,3 1/2 oz.,100,200,30,8,0,0,0,Protein
Haddock,3 oz.,85,135,16,5,4,0,6,Protein
Halibut,3 1/2 oz.,100,182,26,8,0,0,0,Protein
Herring,1 small,100,211,22,13,0,0,0,Protein
Lobster,aver.,100,92,18,1,0,0,t,Protein
Mackerel,3 oz.,85,155,18,9,0,a,0,Protein
Oysters,6-8 med.,230,231,232,233,234,235,236,Protein
Oyster stew,1 cup,85,125,19,6,1,0,0,Protein
Salmon,3 oz.,85,120,17,5,1,0,0,Protein
Sardines,3 oz.,85,180,22,9,4,0,0,Protein
Scallops,3 1/2 oz.,100,104,18,8,0,0,10,Protein
Shad,3 oz.,85,170,20,10,0,0,0,Protein
Shrimp,3 oz.,85,110,23,1,0,0,0,Protein
Swordfish,1 steak,100,180,27,6,0,0,0,Protein
Tuna,3 oz.,85,170,25,7,3,0,0,Protein
Asparagus,6 spears,96,18,1,t,t,0.5,3,Vegetables
Beans,1 cup,125,25,1,t,t,0.8,6,Vegetables
Lima,1 cup,160,140,8,t,t,3,24,Vegetables
"Lima, dry, cooked",1 cup,192,260,16,t,t,2,48,Vegetables
"Navy, baked with pork",3/4 cup,200,250,11,6,6,2,37,Vegetables
Red kidney,1 cup,260,230,15,1,0,2.5,42,Vegetables
Bean sprouts,1 cup,50,17,1,t,0,0.3,3,Vegetables
Beet greens,1 cup,100,27,2,t,0,1.4,6,Vegetables
Beetroots,1 cup,165,1,12,0,,t,0.8,Vegetables
Broccoli,1 cup,150,45,5,t,0,1.9,8,Vegetables
Brussels sprouts,1 cup,130,60,6,t,0,1.7,12,Vegetables
Sauerkraut,1 cup,150,32,1,t,0,1.2,7,Vegetables
Steamed cabbage,1 cup,170,40,2,t,0,1.3,9,Vegetables
Carrots,1 cup,150,45,1,t,0,0.9,10,Vegetables
"Raw, grated",1 cup,110,45,1,t,0,1.2,10,Vegetables
"Strips, from raw",1 mad.,50,20,t,t,0,0.5,5,Vegetables
Cauliflower,1 cup,120,30,3,t,0,1,6,Vegetables
Celery,1 cup,100,20,1,t,0,1,4,Vegetables
Stalk raw,1 large,40,5,1,t,0,0.3,1,Vegetables
Chard steamed,1 cup,150,30,2,t,0,1.4,7,Vegetables
Collards,1 cup,150,51,5,t,0,2,8,Vegetables
Corn,1 ear,100,92,3,1,t,0.8,21,Vegetables
cooked or canned,1 cup,200,170,5,t,0,1.6,41,Vegetables
Cucumbers,8,50,6,t,0,0,0.2,1,Vegetables
Dandelion greens,1 cup,180,80,5,1,0,3.2,16,Vegetables
Eggplant,1 cup,180,30,2,t,0,1,9,Vegetables
Endive,2 oz.,57,10,1,t,0,0.6,2,Vegetables
Kale,1 cup,110,45,4,1,0,0.9,8,Vegetables
Kohlrabi,1 cup,140,40,2,t,0,1.5,9,Vegetables
"Lambs quarters, steamed",1 cup,150,48,5,t,0,3.2,7,Vegetables
Lentils,1 cup,200,212,15,t,0,2.4,38,Vegetables
Lettuce,1/4 head,100,14,1,t,0,0.5,2,Vegetables
Iceberg,1/4 head,100,13,t,t,0,0.5,3,Vegetables
Mushrooms canned,4,120,12,2,t,0,t,4,Vegetables
Mustard greens,1,140,30,3,t,0,1.2,6,Vegetables
Okra,1 1/3 cups,100,32,1,t,0,1,7,Vegetables
Onions,1,210,80,2,t,0,1.6,18,Vegetables
"Raw, green",6 small,50,22,t,t,0,1,5,Vegetables
Parsley,2 T.,50,2,t,t,0,t,t,Vegetables
Parsnips,1 cup,155,95,2,1,0,3,22,Vegetables
Peas,1 cup,100,66,3,t,0,0.1,13,Vegetables
"Fresh, steamed peas",1 cup,100,70,5,t,0,2.2,12,Vegetables
Frozen peas,1 cup,100,,5,t,0,1.8,12,Vegetables
Split cooked peas,4 cups,100,115,8,t,0,0.4,21,Vegetables
heated peas,1 cup,100,53,3,t,0,1,10,Vegetables
Peppers canned,1 pod,38,10,t,t,0,t,2,Vegetables
"Peppers Raw, green, sweet",1 large,100,25,1,t,0,1.4,6,Vegetables
Peppers with beef and crumbs,1 med.,150,255,19,9,8,1,24,Vegetables
"Potatoes, baked",1 med.,100,100,2,t,0,0.5,22,Vegetables
French-fried,10 pieces,60,155,-1,7,3,0.4,20,Vegetables
Potatoes Mashed with milk and butter,1 cup,200,230,4,12,11,0.7,28,Vegetables
"Potatoes, pan-tried",3/4 cup,100,268,4,14,6,0.4,33,Vegetables
Scalloped with cheese potatoes,3/4 cup,100,145,6,8,7,0.4,14,Vegetables
Steamed potatoes before peeling,1 med.,100,80,2,t,0,0.4,19,Vegetables
Potato chips,10,20,110,1,7,4,t,10,Vegetables
Radishes,5 small,50,10,t,0,0,0.3,2,Vegetables
Rutabagas,4 cups,100,32,t,0,0,1.4,8,Vegetables
Soybeans,1 cup,200,260,22,11,0,3.2,20,Vegetables
Spinach,1 cup,100,26,3,t,0,1,3,Vegetables
Squash,1 cup,210,35,1,t,0,0.6,8,Vegetables
"Winter, mashed",1 cup,200,95,4,t,0,2.6,23,Vegetables
Sweet potatoes,1 med.,110,155,2,1,0,1,36,Vegetables
Candied,1 med.,175,235,2,6,5,1.5,80,Vegetables
Tomatoes,1 cup,240,50,2,t,0,1,9,Vegetables
"Raw, 2 by 2 1/2",1 med.,150,30,1,t,0,0.6,6,Vegetables
Tomato juice,1 cup,240,50,2,t,0,0.6,10,Vegetables
Tomato catsup,1 T.,17,15,t,t,0,t,4,Vegetables
Turnip greens,1 cup,145,45,4,1,0,1.8,8,Vegetables
"Turnips, steamed",1 cup,155,40,1,t,0,1.8,9,Vegetables
"Watercress stems, raw",1 cup,50,9,1,t,0,0.3,1,Fruits
Apple juice canned,1 cup,250,125,t,0,0,0,34,Fruits
Apple vinegar,1/3 cup,100,14,t,0,0,0,3,Fruits
"Apples, raw",1 med,130,70,t,t,0,1,18,Fruits
Stewed or canned,1 cup,240,100,t,t,0,2,26,Fruits
Apricots,1 cup,250,220,2,t,0,1,57,Fruits
"Dried, uncooked",1/2 cup,75,220,4,t,0,1,50,Fruits
Fresh,3 med.,114,55,1,t,0,0.7,14,Fruits
"Nectar, or juice",1 cup,250,140,1,t,0,2,36,Fruits
Avocado,1/2 large,108,185,2,18,12,1.8,6,Fruits
Banana,1 med.,150,85,1,t,0,0.9,23,Fruits
Blackberries,1 cup,144,85,2,1,0,6.6,19,Fruits
Blueberries,1 cup,250,245,1,t,0,2,65,Fruits
Cantaloupe,1/2 med.,380,40,1,t,0,2.2,9,Fruits
Cherries,1 cup,257,100,2,1,0,2,26,Fruits
"Fresh, raw",1 cup,114,65,1,t,0,0.8,15,Fruits
Cranberry sauce sweetened,1 cup,277,530,t,t,0,1.2,142,Fruits
Dates,1 cup,178,505,4,t,0,3.6,134,Fruits
Figs,2,42,120,2,t,0,1.9,30,Fruits
"Fresh, raw figs",3 med.,114,90,2,t,0,1,22,Fruits
figs Canned with syrup ,3,115,130,1,t,0,1,32,Fruits
"Fruit cocktail, canned",1 cup,256,195,1,t,0,0.5,50,Fruits
Grapefruit sections,1 cup,250,170,1,t,0,0.5,44,Fruits
"Grapefruit, fresh, 5"" diameter",01-Feb,285,50,1,t,t,1,14,Fruits
Grapefruit juice,1 cup,250,100,1,t,0,1,24,Fruits
Grapes,1 cup,153,70,1,t,0,0.8,16,Fruits
"European, as Muscat, Tokay",1 cup,160,100,1,t,0,0.7,26,Fruits
Grape juice,1 cup,250,160,1,t,0,t,42,Fruits
Lemon juice,1/2 cup,125,30,t,t,0,t,10,Fruits
Lemonade concentratefrozen,6-oz. can,220,430,t,t,0,t,112,Fruits
Limeade concentrate frozen,6-oz. can,218,405,t,t,0,t,108,Fruits
Olives large,10,65,72,1,10,9,0.8,3,Fruits
OlivesRipe,10,65,105,1,13,12,1,1,Fruits
"Oranges 3"" diameter",1 med.,180,60,2,t,t,1,16,Fruits
Orange juice,8 oz. or,250,112,2,t,0,0.2,25,Fruits
Frozen ,6-oz. can,210,330,2,t,t,0.4,78,Fruits
Papaya,1/2 med.,200,75,1,t,0,1.8,18,Fruits
Peaches,1 cup,257,200,1,t,0,1,52,Fruits
"Fresh, raw",1 med.,114,35,1,t,0,0.6,10,Fruits
Pears,1 cup,255,195,1,t,0,2,50,Fruits
"Raw, 3 by 2V",1 med.,182,100,1,1,0,2,25,Fruits
Persimmons,1 med.,125,75,1,t,0,2,20,Fruits
Pineapple,1 large slice,122,95,t,t,0,0.4,26,Fruits
Pineapple Crushed,1 cup,260,205,1,t,0,0.7,55,Fruits
"Raw, diced",1 cup,140,75,1,t',0,0.6,19,Fruits
Pineapple juice,1 cup,250,120,1,t,0,0.2,32,Fruits
Plums,1 cup,256,185,1,t,0,0.7,50,Fruits
"Raw, 2"" diameter",1,60,30,t,t,0,0.2,7,Fruits
Prunes,1 cup,270,300,3,1,0,0.8,81,Fruits
Prune juice,1 cup,240,170,1,t,0,0.7,45,Fruits
Raisins,1/2 cup,88,230,2,t,0,0.7,82,Fruits
Raspberries,1/2 cup,100,100,t,t,0,2,25,Fruits
"Raw, red",3/4 cup,100,57,t,t,0,5,14,Fruits
Rhubarb sweetened,1 cup,270,385,1,t,0,1.9,98,Fruits
Strawberries,1 cup,227,242,1,t,0,1.3,60,Fruits
Raw,1 cup,149,54,t,t,0,1.9,12,Fruits
Tangerines,I med.,114,40,1,t,0,1,10,Fruits
Watermelon,1 wedge,925,120,2,1,0,3.6,29,Fruits
